11
0	1.26	2.25	2.35	3.1	2.55	4.2	5.35	6.05	3.55	2.2
1.26	0	1.25	1.35	2.1	0.55	3.2	4.35	5.05	2.55	1.2
2.25	1.25	0	2.24	2.45	1.5	3.15	4.1	5.4	2.2	1.04
2.35	1.35	2.24	0	1.2	1.05	2.55	4.25	4.05	3.2	2
3.1	2.1	2.45	1.2	0	1.35	2.1	3.4	3.25	3	2.2
2.55	0.55	1.5	1.05	1.35	0	5	6.15	4.45	4.5	1.3
4.2	3.2	3.15	2.55	2.1	5	0	1.55	3.2	2.05	5.2
5.35	4.35	4.1	4.25	3.4	6.15	1.55	0	4	2.25	6.1
6.05	5.05	5.4	4.05	3.25	4.45	3.2	4	0	4.1	4.3
3.55	2.55	2.2	3.2	3	4.5	2.05	2.25	4.1	0	2.15
2.2	1.2	1.04	2	2.2	1.3	5.2	6.1	4.3	2.15	0

