11
0	86	1028	834	1333	247	2731	4031	3892	2520	1050
86	0	980	876	1375	289	2785	3977	3934	2419	855
1028	980	0	1662	2004	1218	2993	3425	4311	1681	78
834	876	1662	0	727	665	2299	3753	3460	2945	1716
1333	1375	2004	727	0	1162	1535	3031	2696	3095	2056
247	289	1218	665	1162	0	2562	3944	3722	2522	1185
2731	2785	2993	2299	1535	2562	0	1497	3607	2418	3048
4031	3977	3425	3753	3031	3944	1497	0	4039	2849	3480
3892	3934	4311	3460	2696	3722	3607	4039	0	5376	4338
2520	2419	1681	2945	3095	2522	2418	2849	5376	0	1763
1050	855	78	1716	2056	1185	3048	3480	4338	1763	0


